"ID","time","x","y","loc_class"
"T172062",2017-08-08 00:20:00,-80.6525,72.2728,"GPS"
"T172062",2017-08-08 00:42:00,-80.6665,72.2719,"GPS"
"T172062",2017-08-08 00:52:00,-80.6692,72.2674,"GPS"
"T172062",2017-08-08 01:09:00,-80.6682,72.2582,"GPS"
"T172062",2017-08-08 01:19:00,-80.6613,72.2574,"GPS"
"T172062",2017-08-08 01:29:00,-80.6592,72.2563,"GPS"
"T172062",2017-08-08 01:44:00,-80.6557,72.2539,"GPS"
"T172062",2017-08-08 02:04:00,-80.6558,72.255,"GPS"
"T172062",2017-08-08 02:16:00,-80.6475,72.2577,"GPS"
"T172062",2017-08-08 02:26:00,-80.6316,72.2582,"GPS"
"T172062",2017-08-08 02:41:00,-80.6158,72.2534,"GPS"
"T172062",2017-08-08 03:02:00,-80.5892,72.2403,"GPS"
"T172062",2017-08-08 03:15:00,-80.5759,72.2338,"GPS"
"T172062",2017-08-08 03:25:00,-80.5767,72.2269,"GPS"
"T172062",2017-08-08 03:36:00,-80.57,72.2211,"GPS"
"T172062",2017-08-08 04:11:00,-80.5697,72.1905,"GPS"
"T172062",2017-08-08 04:20:00,-80.5599,72.1813,"GPS"
"T172062",2017-08-08 04:31:00,-80.5483,72.1727,"GPS"
"T172062",2017-08-08 04:44:00,-80.536,72.1631,"GPS"
"T172062",2017-08-08 05:02:00,-80.5235,72.1482,"GPS"
"T172062",2017-08-08 05:12:00,-80.5156,72.1392,"GPS"
"T172062",2017-08-08 05:29:00,-80.4939,72.1258,"GPS"
"T172062",2017-08-08 05:39:00,-80.4907,72.1158,"GPS"
"T172062",2017-08-08 06:00:00,-80.5002,72.0977,"GPS"
"T172062",2017-08-08 06:13:00,-80.5049,72.0873,"GPS"
"T172062",2017-08-08 06:22:00,-80.5034,72.0781,"GPS"
"T172062",2017-08-08 06:32:00,-80.4967,72.0694,"GPS"
"T172062",2017-08-08 07:11:00,-80.512,72.0471,"GPS"
"T172062",2017-08-08 07:21:00,-80.5282,72.0445,"GPS"
"T172062",2017-08-08 07:34:00,-80.5478,72.0395,"GPS"
"T172062",2017-08-08 07:49:00,-80.5674,72.0331,"GPS"
"T172062",2017-08-08 08:04:00,-80.5795,72.0272,"GPS"
"T172062",2017-08-08 08:16:00,-80.5908,72.0243,"GPS"
"T172062",2017-08-08 08:30:00,-80.6075,72.023,"GPS"
"T172062",2017-08-08 08:40:00,-80.6217,72.0218,"GPS"
"T172062",2017-08-08 09:20:00,-80.6583,72.0199,"GPS"
"T172062",2017-08-08 09:36:00,-80.6732,72.0218,"GPS"
"T172062",2017-08-08 09:47:00,-80.6754,72.0221,"GPS"
"T172062",2017-08-08 09:57:00,-80.6724,72.0231,"GPS"
"T172062",2017-08-08 10:09:00,-80.684,72.0216,"GPS"
"T172062",2017-08-08 10:23:00,-80.6834,72.0237,"GPS"
"T172062",2017-08-08 10:33:00,-80.6859,72.0252,"GPS"
"T172062",2017-08-08 10:44:00,-80.6861,72.026,"GPS"
"T172062",2017-08-08 11:12:00,-80.6771,72.0341,"GPS"
"T172062",2017-08-08 11:22:00,-80.6767,72.0373,"GPS"
"T172062",2017-08-08 11:46:00,-80.6639,72.0371,"GPS"
"T172062",2017-08-08 11:58:00,-80.6595,72.0373,"GPS"
"T172062",2017-08-08 12:08:00,-80.655,72.0358,"GPS"
"T172062",2017-08-08 12:27:00,-80.6589,72.033,"GPS"
"T172062",2017-08-08 12:38:00,-80.655,72.0325,"GPS"
"T172062",2017-08-08 12:53:00,-80.6581,72.0325,"GPS"
"T172062",2017-08-08 13:10:00,-80.6521,72.0302,"GPS"
"T172062",2017-08-08 13:32:00,-80.6427,72.0319,"GPS"
"T172062",2017-08-08 13:58:00,-80.636,72.0314,"GPS"
"T172062",2017-08-08 14:08:00,-80.6243,72.0298,"GPS"
"T172062",2017-08-08 14:18:00,-80.6092,72.0303,"GPS"
"T172062",2017-08-08 14:28:00,-80.5975,72.0318,"GPS"
"T172062",2017-08-08 14:39:00,-80.5867,72.0305,"GPS"
"T172062",2017-08-08 15:01:00,-80.582,72.0266,"GPS"
"T172062",2017-08-08 15:14:00,-80.5874,72.0265,"GPS"
"T172062",2017-08-08 15:24:00,-80.5934,72.0295,"GPS"
"T172062",2017-08-08 15:37:00,-80.5916,72.0296,"GPS"
"T172062",2017-08-08 16:00:00,-80.5938,72.0276,"GPS"
"T172062",2017-08-08 16:20:00,-80.6184,72.0215,"GPS"
"T172062",2017-08-08 16:31:00,-80.6345,72.024,"GPS"
"T172062",2017-08-08 16:43:00,-80.6494,72.0272,"GPS"
"T172062",2017-08-08 17:32:00,-80.6276,72.0319,"GPS"
"T172062",2017-08-08 17:46:00,-80.6065,72.0334,"GPS"
"T172062",2017-08-08 17:57:00,-80.5934,72.0358,"GPS"
"T172062",2017-08-08 18:07:00,-80.577,72.0381,"GPS"
"T172062",2017-08-08 18:17:00,-80.5637,72.0398,"GPS"
"T172062",2017-08-09 00:02:00,-80.4611,72.2265,"GPS"
"T172062",2017-08-09 00:15:00,-80.4571,72.2294,"GPS"
"T172062",2017-08-09 00:31:00,-80.4561,72.2336,"GPS"
"T172062",2017-08-09 00:40:00,-80.4576,72.2363,"GPS"
"T172062",2017-08-09 01:00:00,-80.4715,72.2439,"GPS"
"T172062",2017-08-09 01:10:00,-80.4784,72.2471,"GPS"
"T172062",2017-08-09 01:20:00,-80.4859,72.2506,"GPS"
"T172062",2017-08-09 01:36:00,-80.4999,72.2563,"GPS"
"T172062",2017-08-09 02:07:00,-80.5603,72.2662,"GPS"
"T172062",2017-08-09 02:21:00,-80.5735,72.2733,"GPS"
"T172062",2017-08-09 02:35:00,-80.5752,72.2783,"GPS"
"T172062",2017-08-09 03:03:00,-80.5573,72.2897,"GPS"
"T172062",2017-08-09 03:31:00,-80.5294,72.2956,"GPS"
"T172062",2017-08-09 03:58:00,-80.5284,72.3047,"GPS"
"T172062",2017-08-09 04:11:00,-80.5228,72.2992,"GPS"
"T172062",2017-08-09 04:39:00,-80.5103,72.2936,"GPS"
"T172062",2017-08-09 04:52:00,-80.5203,72.2875,"GPS"
"T172062",2017-08-09 05:13:00,-80.52,72.2846,"GPS"
"T172062",2017-08-09 05:26:00,-80.5083,72.285,"GPS"
"T172062",2017-08-09 05:36:00,-80.4955,72.2838,"GPS"
"T172062",2017-08-09 05:56:00,-80.4807,72.289,"GPS"
"T172062",2017-08-09 06:25:00,-80.4646,72.3001,"GPS"
"T172062",2017-08-09 06:38:00,-80.456,72.309,"GPS"
"T172062",2017-08-09 06:48:00,-80.4499,72.3177,"GPS"
"T172062",2017-08-09 06:59:00,-80.4477,72.3254,"GPS"
"T172062",2017-08-09 07:09:00,-80.4481,72.332,"GPS"
"T172062",2017-08-09 07:20:00,-80.4513,72.3412,"GPS"
"T172062",2017-08-09 07:32:00,-80.4567,72.3513,"GPS"
"T172062",2017-08-09 07:42:00,-80.458,72.3607,"GPS"
"T172062",2017-08-09 08:00:00,-80.4359,72.3673,"GPS"
"T172062",2017-08-09 08:11:00,-80.4203,72.3749,"GPS"
"T172062",2017-08-09 08:22:00,-80.4006,72.3827,"GPS"
"T172062",2017-08-09 08:33:00,-80.3874,72.3865,"GPS"
"T172062",2017-08-09 09:01:00,-80.3976,72.4058,"GPS"
"T172062",2017-08-09 09:15:00,-80.3993,72.418,"GPS"
"T172062",2017-08-09 09:26:00,-80.3749,72.4218,"GPS"
"T172062",2017-08-09 09:50:00,-80.3298,72.4203,"GPS"
"T172062",2017-08-09 10:17:00,-80.3314,72.4054,"GPS"
"T172062",2017-08-09 10:32:00,-80.3677,72.4055,"GPS"
"T172062",2017-08-09 10:44:00,-80.3896,72.4,"GPS"
"T172062",2017-08-09 10:57:00,-80.3947,72.4029,"GPS"
"T172062",2017-08-09 11:08:00,-80.4067,72.4093,"GPS"
"T172062",2017-08-09 11:21:00,-80.4019,72.418,"GPS"
"T172062",2017-08-09 11:32:00,-80.3935,72.4256,"GPS"
"T172062",2017-08-09 11:43:00,-80.3825,72.4308,"GPS"
"T172062",2017-08-09 12:03:00,-80.3599,72.4279,"GPS"
"T172062",2017-08-09 12:22:00,-80.3345,72.4363,"GPS"
"T172062",2017-08-09 12:33:00,-80.3185,72.4418,"GPS"
"T172062",2017-08-09 12:48:00,-80.3099,72.4513,"GPS"
"T172062",2017-08-09 13:05:00,-80.3201,72.4625,"GPS"
"T172062",2017-08-09 13:24:00,-80.3714,72.4678,"GPS"
"T172062",2017-08-09 13:40:00,-80.4249,72.4694,"GPS"
"T172062",2017-08-09 13:50:00,-80.446,72.4715,"GPS"
"T172062",2017-08-09 14:14:00,-80.468,72.4554,"GPS"
"T172062",2017-08-09 14:27:00,-80.4858,72.4443,"GPS"
"T172062",2017-08-09 14:41:00,-80.4983,72.43,"GPS"
"T172062",2017-08-09 14:52:00,-80.5069,72.4186,"GPS"
"T172062",2017-08-09 15:02:00,-80.5101,72.4083,"GPS"
"T172062",2017-08-09 15:13:00,-80.5006,72.3965,"GPS"
"T172062",2017-08-09 15:33:00,-80.5166,72.3779,"GPS"
"T172062",2017-08-09 15:42:00,-80.5494,72.3747,"GPS"
"T172062",2017-08-09 16:00:00,-80.599,72.3622,"GPS"
"T172062",2017-08-09 16:10:00,-80.6264,72.3555,"GPS"
"T172062",2017-08-09 16:20:00,-80.6532,72.3477,"GPS"
"T172062",2017-08-09 16:31:00,-80.6733,72.3376,"GPS"
"T172062",2017-08-09 17:00:00,-80.7198,72.3103,"GPS"
"T172062",2017-08-09 17:10:00,-80.7375,72.3022,"GPS"
"T172062",2017-08-09 17:20:00,-80.7563,72.2938,"GPS"
"T172062",2017-08-09 17:32:00,-80.7776,72.2823,"GPS"
"T172062",2017-08-09 18:00:00,-80.8135,72.2557,"GPS"
"T172062",2017-08-09 18:10:00,-80.8236,72.2452,"GPS"
"T172062",2017-08-09 18:20:00,-80.8249,72.2351,"GPS"
"T172062",2017-08-10 00:03:00,-80.5719,72.1024,"GPS"
"T172062",2017-08-10 00:15:00,-80.5477,72.0964,"GPS"
"T172062",2017-08-10 00:32:00,-80.5371,72.0814,"GPS"
"T172062",2017-08-10 00:45:00,-80.5322,72.0688,"GPS"
"T172062",2017-08-10 01:10:00,-80.5442,72.0505,"GPS"
"T172062",2017-08-10 01:31:00,-80.5269,72.0424,"GPS"
"T172062",2017-08-10 01:48:00,-80.5047,72.0382,"GPS"
"T172062",2017-08-10 02:03:00,-80.4837,72.0384,"GPS"
"T172062",2017-08-10 02:13:00,-80.4754,72.0406,"GPS"
"T172062",2017-08-10 02:30:00,-80.4688,72.0475,"GPS"
"T172062",2017-08-10 02:48:00,-80.4582,72.0541,"GPS"
"T172062",2017-08-10 03:02:00,-80.4644,72.053,"GPS"
"T172062",2017-08-10 03:19:00,-80.4785,72.0529,"GPS"
"T172062",2017-08-10 03:30:00,-80.4817,72.0554,"GPS"
"T172062",2017-08-10 03:39:00,-80.4795,72.0576,"GPS"
"T172062",2017-08-10 04:07:00,-80.4784,72.067,"GPS"
"T172062",2017-08-10 04:23:00,-80.4855,72.0732,"GPS"
"T172062",2017-08-10 04:43:00,-80.4897,72.0826,"GPS"
"T172062",2017-08-10 05:08:00,-80.4728,72.0895,"GPS"
"T172062",2017-08-10 05:18:00,-80.4626,72.0909,"GPS"
"T172062",2017-08-10 05:32:00,-80.4627,72.0978,"GPS"
"T172062",2017-08-10 05:44:00,-80.474,72.1027,"GPS"
"T172062",2017-08-10 06:00:00,-80.4875,72.1115,"GPS"
"T172062",2017-08-10 06:12:00,-80.5005,72.1172,"GPS"
"T172062",2017-08-10 06:22:00,-80.504,72.125,"GPS"
"T172062",2017-08-10 06:32:00,-80.5036,72.1316,"GPS"
"T172062",2017-08-10 07:25:00,-80.508,72.1681,"GPS"
"T172062",2017-08-10 07:38:00,-80.5064,72.1798,"GPS"
"T172062",2017-08-10 07:50:00,-80.5102,72.1892,"GPS"
"T172062",2017-08-10 07:59:00,-80.5128,72.1959,"GPS"
"T172062",2017-08-10 08:09:00,-80.5193,72.2032,"GPS"
"T172062",2017-08-10 08:20:00,-80.5234,72.2124,"GPS"
"T172062",2017-08-10 08:31:00,-80.5226,72.2221,"GPS"
"T172062",2017-08-10 08:42:00,-80.5224,72.2303,"GPS"
"T172062",2017-08-10 09:01:00,-80.5006,72.24,"GPS"
"T172062",2017-08-10 09:11:00,-80.489,72.2411,"GPS"
"T172062",2017-08-10 09:29:00,-80.4825,72.2379,"GPS"
"T172062",2017-08-10 09:41:00,-80.4788,72.235,"GPS"
"T172062",2017-08-10 10:11:00,-80.4485,72.2262,"GPS"
"T172062",2017-08-10 10:46:00,-80.4025,72.2234,"GPS"
"T172062",2017-08-10 10:56:00,-80.3984,72.2243,"GPS"
"T172062",2017-08-10 11:11:00,-80.3893,72.2282,"GPS"
"T172062",2017-08-10 11:25:00,-80.3732,72.2326,"GPS"
"T172062",2017-08-10 11:37:00,-80.359,72.2375,"GPS"
"T172062",2017-08-10 11:47:00,-80.3473,72.2439,"GPS"
"T172062",2017-08-10 12:06:00,-80.3343,72.2555,"GPS"
"T172062",2017-08-10 12:17:00,-80.3273,72.2631,"GPS"
"T172062",2017-08-10 12:31:00,-80.3177,72.2704,"GPS"
"T172062",2017-08-10 12:41:00,-80.3091,72.2743,"GPS"
"T172062",2017-08-10 13:15:00,-80.2907,72.276,"GPS"
"T172062",2017-08-10 13:25:00,-80.2853,72.2819,"GPS"
"T172062",2017-08-10 13:38:00,-80.2775,72.2891,"GPS"
"T172062",2017-08-10 13:48:00,-80.2775,72.294,"GPS"
"T172062",2017-08-10 14:11:00,-80.3123,72.3075,"GPS"
"T172062",2017-08-10 14:29:00,-80.3345,72.3183,"GPS"
"T172062",2017-08-10 14:41:00,-80.3464,72.3255,"GPS"
"T172062",2017-08-10 14:51:00,-80.3447,72.3326,"GPS"
"T172062",2017-08-10 15:02:00,-80.3397,72.3411,"GPS"
"T172062",2017-08-10 15:15:00,-80.3255,72.3492,"GPS"
"T172062",2017-08-10 15:28:00,-80.3083,72.3562,"GPS"
"T172062",2017-08-10 15:43:00,-80.3012,72.3651,"GPS"
"T172062",2017-08-10 16:10:00,-80.2947,72.3803,"GPS"
"T172062",2017-08-10 16:27:00,-80.2873,72.3881,"GPS"
"T172062",2017-08-10 16:36:00,-80.2755,72.3946,"GPS"
"T172062",2017-08-10 16:48:00,-80.2621,72.4029,"GPS"
"T172062",2017-08-10 17:03:00,-80.2407,72.4158,"GPS"
"T172062",2017-08-10 17:27:00,-80.216,72.4265,"GPS"
"T172062",2017-08-10 17:51:00,-80.1769,72.4234,"GPS"
"T172062",2017-08-10 18:14:00,-80.1685,72.4326,"GPS"
"T172062",2017-08-10 18:25:00,-80.1826,72.4406,"GPS"
"T172062",2017-08-10 18:35:00,-80.1978,72.4476,"GPS"
"T172062",2017-08-10 18:45:00,-80.23,72.4534,"GPS"
"T172062",2017-08-11 00:01:00,-80.3488,72.5467,"GPS"
"T172062",2017-08-11 00:13:00,-80.3296,72.549,"GPS"
"T172062",2017-08-11 00:27:00,-80.3038,72.5514,"GPS"
"T172062",2017-08-11 00:37:00,-80.2867,72.5524,"GPS"
"T172062",2017-08-11 01:00:00,-80.2394,72.5543,"GPS"
"T172062",2017-08-11 01:10:00,-80.2157,72.5578,"GPS"
"T172062",2017-08-11 01:22:00,-80.1843,72.5588,"GPS"
"T172062",2017-08-11 01:32:00,-80.162,72.5613,"GPS"
"T172062",2017-08-11 02:01:00,-80.1239,72.5596,"GPS"
"T172062",2017-08-11 02:14:00,-80.1134,72.5496,"GPS"
"T172062",2017-08-11 02:40:00,-80.0689,72.5402,"GPS"
"T172062",2017-08-11 03:01:00,-80.0422,72.536,"GPS"
"T172062",2017-08-11 03:25:00,-80.0322,72.5484,"GPS"
"T172062",2017-08-11 03:35:00,-80.0236,72.5535,"GPS"
"T172062",2017-08-11 04:03:00,-80.0122,72.5627,"GPS"
"T172062",2017-08-11 04:27:00,-80.0253,72.5575,"GPS"
"T172062",2017-08-11 04:37:00,-80.0256,72.5613,"GPS"
"T172062",2017-08-11 04:47:00,-80.02,72.5672,"GPS"
"T172062",2017-08-11 05:10:00,-79.9896,72.5675,"GPS"
"T172062",2017-08-11 05:21:00,-79.9755,72.5633,"GPS"
"T172062",2017-08-11 05:44:00,-79.9663,72.5517,"GPS"
"T172062",2017-08-11 06:05:00,-79.9682,72.5423,"GPS"
"T172062",2017-08-11 06:28:00,-79.9623,72.5421,"GPS"
"T172062",2017-08-11 06:50:00,-79.978,72.5419,"GPS"
"T172062",2017-08-11 07:01:00,-79.9743,72.5462,"GPS"
"T172062",2017-08-11 07:11:00,-79.9679,72.5514,"GPS"
"T172062",2017-08-11 07:29:00,-79.9506,72.5558,"GPS"
"T172062",2017-08-11 07:42:00,-79.9408,72.5615,"GPS"
"T172062",2017-08-11 08:00:00,-79.9329,72.5732,"GPS"
"T172062",2017-08-11 08:10:00,-79.9325,72.5801,"GPS"
"T172062",2017-08-11 08:20:00,-79.9366,72.5876,"GPS"
"T172062",2017-08-11 08:30:00,-79.9421,72.5942,"GPS"
"T172062",2017-08-11 09:03:00,-79.9698,72.6088,"GPS"
"T172062",2017-08-11 09:14:00,-79.9922,72.6091,"GPS"
"T172062",2017-08-11 09:25:00,-80.0029,72.6111,"GPS"
"T172062",2017-08-11 09:45:00,-80.0063,72.5986,"GPS"
"T172062",2017-08-11 10:01:00,-80.014,72.5918,"GPS"
"T172062",2017-08-11 10:26:00,-80.0217,72.5919,"GPS"
"T172062",2017-08-11 10:39:00,-80.0248,72.5924,"GPS"
"T172062",2017-08-11 10:50:00,-80.035,72.5916,"GPS"
"T172062",2017-08-11 11:00:00,-80.0327,72.5864,"GPS"
"T172062",2017-08-11 11:13:00,-80.0359,72.5855,"GPS"
"T172062",2017-08-11 11:23:00,-80.0379,72.5872,"GPS"
"T172062",2017-08-11 11:37:00,-80.0395,72.589,"GPS"
"T172062",2017-08-11 12:00:00,-80.0464,72.5928,"GPS"
"T172062",2017-08-11 12:11:00,-80.046,72.597,"GPS"
"T172062",2017-08-11 12:26:00,-80.0405,72.6052,"GPS"
"T172062",2017-08-11 12:36:00,-80.0328,72.6072,"GPS"
"T172062",2017-08-11 13:00:00,-79.9889,72.6041,"GPS"
"T172062",2017-08-11 13:10:00,-79.9661,72.604,"GPS"
"T172062",2017-08-11 13:20:00,-79.9505,72.6023,"GPS"
"T172062",2017-08-11 13:47:00,-79.9277,72.5946,"GPS"
"T172062",2017-08-11 14:12:00,-79.9082,72.5908,"GPS"
"T172062",2017-08-11 14:38:00,-79.921,72.6014,"GPS"
"T172062",2017-08-11 14:53:00,-79.9348,72.6094,"GPS"
"T172062",2017-08-11 15:02:00,-79.9477,72.6141,"GPS"
"T172062",2017-08-11 15:17:00,-79.9639,72.6125,"GPS"
"T172062",2017-08-11 15:27:00,-79.9542,72.607,"GPS"
"T172062",2017-08-11 15:42:00,-79.94,72.5995,"GPS"
"T172062",2017-08-11 16:00:00,-79.9201,72.5905,"GPS"
"T172062",2017-08-11 16:10:00,-79.9048,72.5883,"GPS"
"T172062",2017-08-11 16:20:00,-79.8964,72.586,"GPS"
"T172062",2017-08-11 16:39:00,-79.8942,72.5841,"GPS"
"T172062",2017-08-11 17:00:00,-79.8908,72.5802,"GPS"
"T172062",2017-08-11 17:10:00,-79.888,72.5734,"GPS"
"T172062",2017-08-11 17:21:00,-79.8745,72.5657,"GPS"
"T172062",2017-08-11 17:43:00,-79.8555,72.5562,"GPS"
"T172062",2017-08-11 18:03:00,-79.8334,72.5534,"GPS"
